#{"t_start": 1727647854.4615552, "env_id": "None"}
r,l,t
-1.0,22,2.335806
0.0,2,2.336817
-1.0,8,2.340629
-1.0,7,2.343904
-1.0,4,2.345844
-1.0,11,2.351132
-1.0,19,2.360022
-1.0,7,2.363297
-1.0,11,2.36846
-1.0,7,2.371739
0.0,3,2.37321
-1.0,18,2.381732
-1.0,7,2.385055
-1.0,3,2.38651
-1.0,27,2.399203
-1.0,22,2.409511
-1.0,7,2.412814
0.0,11,2.418032
-1.0,7,2.421342
0.0,2,2.422338
0.0,13,2.428656
-1.0,22,2.439022
-1.0,13,2.445146
-1.0,4,2.447126
-1.0,4,2.449041
0.0,6,2.45191
-1.0,25,2.463654
0.0,12,2.469287
0.0,25,2.480892
-1.0,11,2.486031
-1.0,5,2.488417
0.0,12,2.494034
0.0,16,2.501626
-1.0,8,2.505396
-1.0,27,2.517936
-1.0,13,2.524022
-1.0,9,2.528251
-1.0,11,2.533386
-1.0,12,2.538961
-1.0,3,2.540431
0.0,23,2.551636
-1.0,11,2.556839
-1.0,9,2.561969
-1.0,11,2.567308
-1.0,10,2.572121
0.0,9,2.576383
-1.0,10,2.58108
-1.0,3,2.582519
-1.0,8,2.586294
0.0,5,2.588675
0.0,11,2.59383
-1.0,10,2.598528
-1.0,9,2.602776
-1.0,12,2.608367
-1.0,15,2.615379
0.0,28,2.628583
0.0,12,2.634285
0.0,6,2.637131
-1.0,5,2.639515
-1.0,7,2.642954
-1.0,4,2.644894
-1.0,10,2.649751
0.0,4,2.6518
-1.0,7,2.655121
0.0,12,2.660975
-1.0,19,2.670173
-1.0,5,2.672533
-1.0,11,2.677718
-1.0,5,2.680091
-1.0,13,2.686197
-1.0,11,2.691409
-1.0,15,2.698831
-1.0,10,2.703598
-1.0,10,2.708472
-1.0,8,2.713168
0.0,2,2.714274
-1.0,7,2.717599
0.0,4,2.719562
1.0,10,2.724251
-1.0,17,2.732181
-1.0,16,2.739638
0.0,15,2.746625
-1.0,4,2.748528
-1.0,6,2.751417
-1.0,13,2.757604
0.0,17,2.765529
-1.0,7,2.768851
-1.0,8,2.772619
-1.0,11,2.777756
-1.0,8,2.781511
-1.0,13,2.78758
-1.0,10,2.792486
-1.0,9,2.796822
-1.0,12,2.802588
-1.0,5,2.804974
0.0,7,2.808311
-1.0,10,2.81306
-1.0,4,2.814997
0.0,19,2.823903
0.0,15,2.831037
-1.0,14,2.837715
0.0,7,2.84131
0.0,11,2.846732
-1.0,10,2.851541
